gvkey,fyear,datadate,ceq,xstfws,conm,gsector
005180,2020,2020-12-31,14587.0000,,GSK PLC,35
005180,2021,2021-12-31,15055.0000,,GSK PLC,35
005180,2022,2022-12-31,10598.0000,,GSK PLC,35
008020,2020,2020-12-31,63325.0000,,NOVO NORDISK A/S,35
008020,2021,2021-12-31,70746.0000,,NOVO NORDISK A/S,35
008020,2022,2022-12-31,83486.0000,,NOVO NORDISK A/S,35
008546,2020,2020-12-31,11870.0000,13.0000,KONINKLIJKE PHILIPS NV,35
008546,2021,2021-12-31,14438.0000,8.0000,KONINKLIJKE PHILIPS NV,35
008546,2022,2022-12-31,13249.0000,10.0000,KONINKLIJKE PHILIPS NV,35
012754,2019,2020-05-31,95.6470,,ABANO HEALTHCARE GROUP LTD,35
014242,2020,2020-06-30,1391.5000,,ANSELL LTD,35
014242,2021,2021-06-30,1551.2000,,ANSELL LTD,35
014242,2022,2022-06-30,1542.9000,,ANSELL LTD,35
014242,2023,2023-06-30,1600.9000,,ANSELL LTD,35
014538,2020,2020-12-31,10026.0000,,TEVA PHARMACEUTICALS,35
014538,2021,2021-12-31,10278.0000,,TEVA PHARMACEUTICALS,35
014538,2022,2022-12-31,7897.0000,,TEVA PHARMACEUTICALS,35
016602,2020,2020-06-30,-24.7760,9.1360,THE IQ GROUP GLOBAL LTD,35
016602,2021,2021-06-30,-6.9600,8.3090,THE IQ GROUP GLOBAL LTD,35
022410,2020,2020-12-31,82.0000,,INDIVIOR PLC,35
022410,2021,2021-12-31,203.0000,,INDIVIOR PLC,35
022410,2022,2022-12-31,51.0000,,INDIVIOR PLC,35
025648,2020,2020-12-31,36341.0000,101.0000,ROCHE HOLDING AG,35
025648,2021,2021-12-31,24489.0000,71.0000,ROCHE HOLDING AG,35
025648,2022,2022-12-31,27992.0000,82.0000,ROCHE HOLDING AG,35
025850,2020,2020-12-31,-2.2190,,TRINITY BIOTECH PLC,35
025850,2021,2021-12-31,-0.3190,,TRINITY BIOTECH PLC,35
025850,2022,2022-12-31,-2.1760,,TRINITY BIOTECH PLC,35
026174,2020,2020-12-31,11.6670,,GENSIGHT BIOLOGICS SA,35
026174,2021,2021-12-31,15.9890,,GENSIGHT BIOLOGICS SA,35
026174,2022,2022-12-31,-15.2790,,GENSIGHT BIOLOGICS SA,35
028027,2020,2020-12-31,627.5050,,AMARIN CORP,35
028027,2021,2021-12-31,667.0990,,AMARIN CORP,35
028027,2022,2022-12-31,595.3330,,AMARIN CORP,35
028272,2020,2020-12-31,15622.0000,37.0000,ASTRAZENECA PLC,35
028272,2021,2021-12-31,39268.0000,26.0000,ASTRAZENECA PLC,35
028272,2022,2022-12-31,37037.0000,29.0000,ASTRAZENECA PLC,35
035056,2020,2020-12-31,18822.0000,,ALCON INC,35
035056,2021,2021-12-31,19256.0000,,ALCON INC,35
035056,2022,2022-12-31,19677.0000,,ALCON INC,35
043362,2020,2020-12-31,7715.0000,,SANDOZ GROUP AG,35
043362,2021,2021-12-31,8153.0000,,SANDOZ GROUP AG,35
043362,2022,2022-12-31,8748.0000,,SANDOZ GROUP AG,35
063186,2020,2020-12-31,2797.8390,,QIAGEN NV,35
063186,2021,2021-12-31,3096.5500,,QIAGEN NV,35
063186,2022,2022-12-31,3466.6110,,QIAGEN NV,35
065379,2020,2020-12-31,94.4470,,ELBIT IMAGING LTD,35
065379,2021,2021-12-31,70.9200,,ELBIT IMAGING LTD,35
065379,2022,2022-12-31,62.6630,,ELBIT IMAGING LTD,35
100080,2020,2020-12-31,30524.0000,96.0000,BAYER AG,35
100080,2021,2021-12-31,33020.0000,81.0000,BAYER AG,35
100080,2022,2022-12-31,38773.0000,,BAYER AG,35
100230,2019,2020-03-31,120666.0000,,MOCHIDA PHARMACEUTICAL CO,35
100230,2020,2021-03-31,126975.0000,,MOCHIDA PHARMACEUTICAL CO,35
100230,2021,2022-03-31,128646.0000,,MOCHIDA PHARMACEUTICAL CO,35
100230,2022,2023-03-31,126775.0000,,MOCHIDA PHARMACEUTICAL CO,35
100290,2019,2020-03-31,562484.0000,,ONO PHARMACEUTICAL CO LTD,35
100290,2020,2021-03-31,635547.0000,,ONO PHARMACEUTICAL CO LTD,35
100290,2021,2022-03-31,655906.0000,,ONO PHARMACEUTICAL CO LTD,35
100290,2022,2023-03-31,741868.0000,,ONO PHARMACEUTICAL CO LTD,35
100336,2019,2020-03-31,1305811.0000,,DAIICHI SANKYO COMPANY LTD,35
100336,2020,2021-03-31,1272053.0000,,DAIICHI SANKYO COMPANY LTD,35
